"Time","Senderismo","Escalada","Montañismo","Vía ferrata","Esquí","Salud","running","Ciclismo"
"2021-06-01",0,0,0,0,0,0,0,0
"2021-07-01",0,0,0,0,0,0,14,0
"2021-08-01",0,0,0,0,0,0,19,0
"2021-09-01",0,0,0,0,0,0,22,0
"2021-10-01",0,0,0,0,0,0,0,0
"2021-11-01",0,0,0,0,0,0,14,0
"2021-12-01",0,0,0,0,0,0,11,0
"2022-01-01",0,0,0,0,0,0,18,0
"2022-02-01",0,0,0,0,0,0,0,0
"2022-03-01",0,0,0,0,0,0,0,0
"2022-04-01",0,0,0,0,0,0,21,0
"2022-05-01",0,0,0,0,0,0,16,0
"2022-06-01",0,0,0,0,0,0,12,0
"2022-07-01",0,0,0,0,0,0,14,0
"2022-08-01",0,0,0,0,0,0,23,0
"2022-09-01",0,0,0,0,0,0,13,0
"2022-10-01",0,0,0,0,0,0,20,0
"2022-11-01",0,0,0,0,0,0,13,0
"2022-12-01",0,0,0,0,0,0,13,0
"2023-01-01",0,0,0,0,0,0,22,0
"2023-02-01",0,0,0,0,0,0,15,0
"2023-03-01",0,0,0,0,0,0,24,0
"2023-04-01",0,0,0,0,0,0,27,0
"2023-05-01",0,0,0,0,0,0,26,0
"2023-06-01",0,0,0,0,0,0,26,0
"2023-07-01",0,0,0,0,0,0,26,0
"2023-08-01",0,0,0,0,0,0,21,0
"2023-09-01",0,0,0,0,0,0,0,0
"2023-10-01",0,0,0,0,0,0,0,0
"2023-11-01",0,0,0,0,0,0,16,0
"2023-12-01",0,0,0,0,0,0,12,0
"2024-01-01",0,0,0,0,0,0,19,0
"2024-02-01",0,0,0,0,0,0,16,0
"2024-03-01",0,0,0,0,0,0,18,0
"2024-04-01",0,0,0,0,0,0,0,0
"2024-05-01",0,0,0,0,0,0,0,0
"2024-06-01",0,0,0,0,0,0,68,0
"2024-07-01",0,0,0,0,0,0,0,0
"2024-08-01",0,0,0,0,0,0,55,0
"2024-09-01",0,0,0,0,0,0,32,0
"2024-10-01",0,0,0,0,0,0,21,0
"2024-11-01",0,0,0,0,0,0,25,0
"2024-12-01",0,0,0,0,0,0,22,0
"2025-01-01",0,0,0,0,0,0,24,0
"2025-02-01",0,0,0,0,0,0,28,0
"2025-03-01",0,0,0,0,0,0,50,0
"2025-04-01",0,0,0,0,0,0,52,0
"2025-05-01",26,0,0,0,0,0,39,0
"2025-06-01",39,14,0,0,0,19,22,17
"2025-07-01",44,0,0,0,0,16,25,0
"2025-08-01",57,12,0,0,0,20,100,27
"2025-09-01",48,0,0,0,0,0,39,0
"2025-10-01",30,0,0,0,11,20,32,14
"2025-11-01",27,14,0,0,22,12,28,0
"2025-12-01",19,17,0,0,24,0,30,0
"2026-01-01",34,11,0,0,25,12,43,11
"2026-02-01",28,11,0,0,24,0,40,8
"2026-03-01",35,11,0,0,9,16,68,12
"2026-04-01",36,0,0,0,0,11,50,9
"2026-05-01",44,9,0,0,0,0,91,16
"2026-06-01",24,7,1,2,1,8,38,7